ESTP_FECHAINGRESO,SITUACION,CREDITOSAPROBADOS,UBICACION_SEMESTRAL,PROMEDIO_GENERAL,PROGRAMA,JORNADA,GENERO,FECHA_NACIMIENTO,CIUDADRESIDENCIA,ESTRATO,TIENE_SISBEN,INFE_VIVECONFAMILIA,INFE_SITUACIONPADRES,INFE_NUMEROFAMILIARES,INFE_NUMEROHERMANOS,INFE_POSICIONENHERMANOS,INFE_NUMMIEMBROSTRABAJA
2023-01-15,ACTIVO,45,5,3.8,INGENIERIA DE SISTEMAS,DIURNA,M,2000-05-20,BUCARAMANGA,3,1,SI,VIVOS Y CONVIVEN,4,2,1,2
2022-08-10,ACTIVO,60,7,4.2,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,1999-11-15,FLORIDABLANCA,2,0,NO,VIVOS Y SEPARADOS,3,1,1,1
2023-02-20,PFI,20,3,2.1,INGENIERIA DE SISTEMAS,DIURNA,M,2001-03-10,GIRON,1,1,SI,MADRE VIVA - PADRE DIFUNTO,5,3,2,1
2021-07-05,ACTIVO,75,9,4.5,INGENIERIA DE SISTEMAS,DIURNA,F,1998-12-01,PIEDECUESTA,4,0,SI,VIVOS Y CONVIVEN,3,1,1,2
2022-01-10,INACTIVO,15,2,1.8,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,M,2000-08-25,BUCARAMANGA,2,1,NO,VIVOS Y SEPARADOS,4,2,2,1
2023-06-12,ACTIVO,50,6,3.9,INGENIERIA DE SISTEMAS,DIURNA,F,1999-07-30,FLORIDABLANCA,3,1,SI,VIVOS Y CONVIVEN,5,2,1,3
2022-03-18,EXCLUIDO NO RENOVACION DE MATRICULA,25,4,2.5,INGENIERIA DE SISTEMAS,NOCTURNA,M,2000-02-14,BUCARAMANGA,1,1,SI,PADRE VIVO - MADRE DIFUNTA,3,1,1,1
2021-09-22,ACTIVO,80,10,4.1,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,1997-11-20,GIRON,5,0,NO,DIFUNTOS,2,0,1,1
2023-04-08,ACTIVO,35,4,3.5,INGENIERIA DE SISTEMAS,DIURNA,M,2001-01-05,PIEDECUESTA,2,1,SI,VIVOS Y CONVIVEN,6,3,2,2
2022-11-30,EXCLUIDO CANCELACION SEMESTRE,10,2,1.5,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,2002-06-18,BUCARAMANGA,1,1,SI,VIVOS Y SEPARADOS,4,1,1,1
2023-03-25,ACTIVO,55,6,4.0,INGENIERIA DE SISTEMAS,DIURNA,M,1999-09-12,FLORIDABLANCA,4,0,SI,VIVOS Y CONVIVEN,4,2,1,2
2021-05-14,ACTIVO,85,11,4.6,INGENIERIA DE SISTEMAS,NOCTURNA,F,1997-04-22,BUCARAMANGA,3,1,NO,VIVOS Y CONVIVEN,3,1,1,2
2022-09-08,PFI,30,4,2.3,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,M,2000-10-08,GIRON,2,1,SI,MADRE VIVA - PADRE DIFUNTO,5,2,1,1
2023-01-20,ACTIVO,40,5,3.7,INGENIERIA DE SISTEMAS,DIURNA,F,2000-12-30,PIEDECUESTA,3,1,SI,VIVOS Y CONVIVEN,4,2,2,2
2022-06-15,INACTIVO,18,3,1.9,INGENIERIA DE SISTEMAS,NOCTURNA,M,2001-05-17,BUCARAMANGA,1,1,SI,VIVOS Y SEPARADOS,3,1,1,1
2023-02-28,ACTIVO,48,5,3.6,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,DIURNA,F,2000-01-25,FLORIDABLANCA,4,0,SI,VIVOS Y CONVIVEN,5,3,2,3
2021-08-12,ACTIVO,70,8,4.3,INGENIERIA DE SISTEMAS,DIURNA,M,1998-08-19,GIRON,2,1,NO,VIVOS Y CONVIVEN,3,1,1,2
2022-12-05,EXCLUIDO NO RENOVACION DE MATRICULA,22,3,2.0,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,2001-11-11,BUCARAMANGA,1,1,SI,VIVOS Y SEPARADOS,4,2,1,1
2023-05-18,ACTIVO,52,6,4.1,INGENIERIA DE SISTEMAS,DIURNA,M,1999-03-28,PIEDECUESTA,5,0,SI,VIVOS Y CONVIVEN,4,1,1,2
2022-02-22,ACTIVO,65,8,4.4,TECNOLOGIA EN DESARROLLO DE SISTEMAS INFORMATICOS,NOCTURNA,F,1998-07-15,FLORIDABLANCA,3,1,NO,VIVOS Y CONVIVEN,3,2,1,2
